"Dataset Index","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.000524","0.0","1.0","0.0","0.121351","0.0","0.285759","0.0","0.001722","0.0"
"1.0","0.000433","0.0","1.0","0.0","0.149887","0.0","0.352956","0.0","0.001153","0.0"
"2.0","0.00042","0.0","1.0","0.0","0.195088","0.0","0.459396","0.0","0.000859","0.0"
"3.0","0.00042","0.0","1.0","0.0","0.22755","0.0","0.535838","0.0","0.000736","0.0"
"4.0","0.000441","0.0","1.0","0.0","0.252228","0.0","0.59395","0.0","0.000697","0.0"
"5.0","0.000477","0.0","1.0","0.0","0.272905","0.0","0.642642","0.0","0.000698","0.0"
"6.0","0.000434","0.0","1.0","0.0","0.282116","0.0","0.664333","0.0","0.000613","0.0"
"7.0","0.000501","0.0","1.0","0.0","0.300472","0.0","0.707558","0.0","0.000665","0.0"
"8.0","0.000463","0.0","1.0","0.0","0.315995","0.0","0.744111","0.0","0.000584","0.0"
"9.0","0.000483","0.0","1.0","0.0","0.315066","0.0","0.741923","0.0","0.000612","0.0"
"10.0","0.00044","0.0","1.0","0.0","0.34662","0.0","0.816228","0.0","0.000506","0.0"

" ","(  0.0 in STD_ERR ","means NoneType. )"
