"Dataset Index","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.001484","0.0","4.499141","0.0","0.02688","0.0","0.063299","0.0","0.022027","0.0"
"1.0","0.00148","0.0","4.498766","0.0","0.026908","0.0","0.063363","0.0","0.021947","0.0"
"2.0","0.0015","0.0","4.498391","0.0","0.026951","0.0","0.063465","0.0","0.022205","0.0"
"3.0","0.001497","0.0","4.498305","0.0","0.027012","0.0","0.063608","0.0","0.022102","0.0"
"4.0","0.001509","0.0","4.497968","0.0","0.026983","0.0","0.063541","0.0","0.022308","0.0"
"5.0","0.001504","0.0","4.497989","0.0","0.026974","0.0","0.063519","0.0","0.022247","0.0"
"6.0","0.001499","0.0","4.497957","0.0","0.027","0.0","0.06358","0.0","0.022146","0.0"
"7.0","0.001442","0.0","4.497468","0.0","0.027003","0.0","0.063586","0.0","0.021305","0.0"
"8.0","0.001319","0.0","4.497948","0.0","0.027102","0.0","0.06382","0.0","0.019409","0.0"
"9.0","0.001297","0.0","4.498253","0.0","0.02696","0.0","0.063486","0.0","0.019186","0.0"
"10.0","0.001299","0.0","4.497974","0.0","0.026834","0.0","0.06319","0.0","0.01931","0.0"

" ","(  0.0 in STD_ERR ","means NoneType. )"
