"Dataset Index","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.000822","0.0","4.517636","0.0","0.027674","0.0","0.065167","0.0","0.011848","0.0"
"1.0","0.000775","0.0","4.51862","0.0","0.027684","0.0","0.06519","0.0","0.011172","0.0"
"2.0","0.00076","9e-06","4.519515","0.00036","0.028012","0.000361","0.065963","0.000851","0.010828","0.000121"
"3.0","0.000749","9e-06","4.520419","0.000378","0.028419","0.000378","0.066921","0.000891","0.010521","0.000121"
"4.0","0.000729","9e-06","4.521225","0.000421","0.02873","0.000421","0.067654","0.000991","0.010129","0.000128"
"5.0","0.000719","1e-05","4.521911","0.00045","0.029106","0.00045","0.06854","0.00106","0.009853","0.000132"
"6.0","0.000714","1e-05","4.522442","0.00049","0.0291","0.00049","0.068526","0.001154","0.00979","0.000143"
"7.0","0.000709","1.1e-05","4.522398","0.000541","0.029141","0.000541","0.068623","0.001273","0.009701","0.000156"
"8.0","0.00066","1.3e-05","4.522477","0.000646","0.028567","0.000646","0.06727","0.001521","0.009217","0.00018"
"9.0","0.000643","1.5e-05","4.5221","0.000762","0.02872","0.000762","0.067631","0.001794","0.008936","0.000205"
"10.0","0.000554","1.7e-05","4.522448","0.001006","0.028918","0.001006","0.068096","0.002369","0.007636","0.00023"
"11.0","0.000396","2e-05","4.522794","0.001684","0.029105","0.001684","0.068537","0.003966","0.005423","0.000272"
"12.0","0.000249","2.3e-05","4.523561","0.003091","0.029271","0.003091","0.068928","0.007279","0.003393","0.00031"
"13.0","0.000146","2.6e-05","4.522733","0.006134","0.030226","0.006132","0.071177","0.014439","0.001926","0.000338"
"14.0","7.4e-05","3e-05","4.523709","0.013941","0.030135","0.013933","0.070962","0.032811","0.000979","0.000392"
"15.0","4.5e-05","3.2e-05","4.522343","0.028754","0.034899","0.028702","0.08218","0.067589","0.000511","0.000364"
"16.0","5e-05","4.3e-05","4.528216","0.05495","0.05541","0.055092","0.13048","0.129733","0.000357","0.000308"

" ","(  0.0 in STD_ERR ","means NoneType. )"
