"Dataset Index","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.000411","0.0","4.484672","0.0","0.029125","0.0","0.068583","0.0","0.005625","0.0"
"1.0","0.000409","0.0","4.48492","0.0","0.029161","0.0","0.068669","0.0","0.005598","0.0"
"2.0","0.000404","0.0","4.484706","0.0","0.029519","0.0","0.069512","0.0","0.005463","0.0"
"3.0","0.000401","0.0","4.485018","0.0","0.029342","0.0","0.069096","0.0","0.005451","0.0"
"4.0","0.000395","0.0","4.484804","0.0","0.029499","0.0","0.069466","0.0","0.005347","0.0"
"5.0","0.000388","0.0","4.484806","0.0","0.029506","0.0","0.069482","0.0","0.00525","0.0"
"6.0","0.000388","0.0","4.484351","0.0","0.029538","0.0","0.069557","0.0","0.005241","0.0"
"7.0","0.000394","0.0","4.484047","0.0","0.029928","0.0","0.070476","0.0","0.005252","0.0"
"8.0","0.000391","0.0","4.484502","0.0","0.029592","0.0","0.069683","0.0","0.005266","0.0"
"9.0","0.000364","0.0","4.484378","0.0","0.029535","0.0","0.06955","0.0","0.004914","0.0"
"10.0","0.000335","0.0","4.48475","0.0","0.030114","0.0","0.070912","0.0","0.004442","0.0"
"11.0","0.000318","0.0","4.48523","0.0","0.029873","0.0","0.070346","0.0","0.004248","0.0"
"12.0","0.000311","1.5e-05","4.485158","0.001635","0.029989","0.001635","0.070619","0.003851","0.004134","0.000195"
"13.0","0.000309","0.0","4.485053","0.0","0.030379","0.0","0.071538","0.0","0.004057","0.0"
"14.0","0.000304","0.0","4.485174","0.0","0.030293","0.0","0.071335","0.0","0.004004","0.0"
"15.0","0.000302","0.0","4.485122","0.0","0.030165","0.0","0.071033","0.0","0.003994","0.0"
"16.0","0.000366","0.0","4.485009","0.0","0.029782","0.0","0.070131","0.0","0.004898","0.0"
"17.0","0.00039","0.0","4.484861","0.0","0.029352","0.0","0.069118","0.0","0.005299","0.0"

" ","(  0.0 in STD_ERR ","means NoneType. )"
