"TIME","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.200151","0.011218","2.327527","0.00626","0.096727","0.006261","0.227774","0.014743","0.825507","0.046267"
"10.0","0.199704","0.010924","2.327761","0.006267","0.099224","0.006268","0.233654","0.014761","0.802938","0.043921"
"20.0","0.202306","0.011247","2.325253","0.00639","0.099566","0.006393","0.23446","0.015054","0.810604","0.045062"
"30.0","0.198717","0.011096","2.328118","0.00608","0.094308","0.006081","0.222078","0.014319","0.840616","0.046938"
"40.0","0.201591","0.011198","2.329185","0.006034","0.094073","0.006035","0.221526","0.01421","0.854898","0.047489"
"50.0","0.198109","0.011295","2.329765","0.006296","0.095633","0.006296","0.225198","0.014827","0.826432","0.047119"
"60.0","0.204824","0.011309","2.326654","0.006459","0.101332","0.006462","0.238619","0.015217","0.806386","0.044521"
"70.0","0.202131","0.010984","2.3291","0.006233","0.099355","0.006235","0.233963","0.014682","0.811619","0.044101"
"80.0","0.1972","0.01022","2.328275","0.00565","0.094419","0.005651","0.222341","0.013306","0.833213","0.043182"
"90.0","0.202178","0.010868","2.323256","0.006095","0.098212","0.006097","0.231271","0.014357","0.821261","0.044144"
"100.0","0.200235","0.011815","2.328264","0.006792","0.099706","0.006794","0.23479","0.016","0.801176","0.047272"

" ","(  0.0 in STD_ERR ","means NoneType. )"
