"TIME","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.001099","6e-06","6.349471","0.000251","0.037563","0.000251","0.088454","0.000592","0.011667","6.8e-05"
"10.0","0.001037","5e-06","6.350838","0.000213","0.037591","0.000213","0.088521","0.000501","0.011004","5.4e-05"
"20.0","0.001011","2.9e-05","6.35206","0.001257","0.037893","0.001257","0.089232","0.002959","0.010647","0.000306"
"30.0","0.000991","2.6e-05","6.353262","0.001145","0.038276","0.001145","0.090133","0.002697","0.010327","0.000268"
"40.0","0.000958","2.5e-05","6.354369","0.001153","0.038535","0.001153","0.090743","0.002715","0.009921","0.000257"
"50.0","0.000934","2.6e-05","6.355298","0.001233","0.038739","0.001233","0.091223","0.002903","0.00962","0.000265"
"60.0","0.000928","2.7e-05","6.355968","0.001306","0.038751","0.001306","0.091251","0.003076","0.009559","0.000279"
"70.0","0.000924","2.7e-05","6.355979","0.001305","0.038864","0.001305","0.091517","0.003073","0.009486","0.000276"
"80.0","0.00086","2.7e-05","6.356109","0.001396","0.038106","0.001396","0.089732","0.003288","0.009006","0.000286"
"90.0","0.000837","3e-05","6.355547","0.001574","0.038241","0.001574","0.09005","0.003707","0.008727","0.000311"
"100.0","0.000718","3e-05","6.356055","0.001832","0.038475","0.001832","0.090601","0.004314","0.00745","0.000307"
"110.0","0.000518","3.4e-05","6.356584","0.00291","0.038925","0.00291","0.091661","0.006853","0.005306","0.000344"
"120.0","0.000318","3.5e-05","6.357574","0.004902","0.038511","0.004901","0.090686","0.011541","0.003296","0.000363"
"130.0","0.00019","3.9e-05","6.35658","0.00958","0.040332","0.009578","0.094973","0.022556","0.001884","0.000387"
"140.0","9.4e-05","4.4e-05","6.357684","0.02108","0.039543","0.021085","0.093116","0.049651","0.000952","0.00044"
"150.0","5.5e-05","4.6e-05","6.355946","0.041887","0.043444","0.041889","0.102303","0.098641","0.000503","0.00042"
"160.0","5.7e-05","5.8e-05","6.36153","0.072146","0.062481","0.074106","0.147132","0.174507","0.000367","0.000367"

" ","(  0.0 in STD_ERR ","means NoneType. )"
