"X","Y_Original","Y_Gaussian","Y_Lorentzian","Y_Pseudo_Voigt"
"4.82345","0.0089","0.00894","0.00901","0.008946"
"4.8361","0.00899","0.008934","0.009004","0.00894"
"4.84875","0.00905","0.008929","0.008998","0.008934"
"4.86139","0.00909","0.008923","0.008992","0.008928"
"4.87404","0.00907","0.008917","0.008986","0.008923"
"4.88668","0.00902","0.008912","0.008979","0.008917"
"4.89933","0.00898","0.008906","0.008973","0.008912"
"4.91197","0.009","0.008901","0.008967","0.008906"
"4.92462","0.00897","0.008895","0.008962","0.008901"
"4.93726","0.00891","0.00889","0.008956","0.008895"
"4.9499","0.00895","0.008884","0.00895","0.00889"
"4.96255","0.00909","0.008879","0.008944","0.008884"
"4.97519","0.00908","0.008874","0.008939","0.008879"
"4.98783","0.00904","0.008869","0.008933","0.008874"
"5.00047","0.00896","0.008864","0.008927","0.008869"
"5.01311","0.00898","0.008859","0.008922","0.008864"
"5.02576","0.00893","0.008854","0.008917","0.008859"
"5.0384","0.00893","0.008849","0.008911","0.008854"
"5.05104","0.00893","0.008844","0.008906","0.008849"
"5.06368","0.00896","0.008839","0.008901","0.008844"
"5.07632","0.00895","0.008834","0.008896","0.008839"
"5.08896","0.00898","0.00883","0.008891","0.008835"
"5.10159","0.00898","0.008825","0.008886","0.00883"
"5.11423","0.00897","0.008821","0.008881","0.008826"
"5.12687","0.00894","0.008816","0.008876","0.008821"
"5.13951","0.00894","0.008812","0.008872","0.008817"
"5.15215","0.00898","0.008808","0.008867","0.008813"
"5.16478","0.00899","0.008804","0.008863","0.008809"
"5.17742","0.00895","0.0088","0.008859","0.008805"
"5.19006","0.00892","0.008796","0.008854","0.008801"
"5.20269","0.00889","0.008792","0.00885","0.008797"
"5.21533","0.00889","0.008788","0.008846","0.008793"
"5.22796","0.00893","0.008784","0.008842","0.008789"
"5.2406","0.00888","0.008781","0.008839","0.008786"
"5.25323","0.00883","0.008777","0.008835","0.008782"
"5.26586","0.00879","0.008774","0.008831","0.008779"
"5.2785","0.00877","0.008771","0.008828","0.008776"
"5.29113","0.00874","0.008768","0.008825","0.008773"
"5.30376","0.00878","0.008765","0.008822","0.00877"
"5.31639","0.0088","0.008762","0.008819","0.008767"
"5.32903","0.00877","0.00876","0.008816","0.008765"
"5.34166","0.00883","0.008757","0.008813","0.008762"
"5.35429","0.00883","0.008755","0.008811","0.00876"
"5.36692","0.00882","0.008753","0.008809","0.008758"
"5.37955","0.00888","0.008751","0.008806","0.008756"
"5.39218","0.00885","0.008749","0.008804","0.008754"
"5.40481","0.00884","0.008747","0.008802","0.008752"
"5.41744","0.00878","0.008745","0.008801","0.008751"
"5.43007","0.00888","0.008744","0.008799","0.008749"
"5.44269","0.00887","0.008743","0.008798","0.008748"
"5.45532","0.00891","0.008742","0.008797","0.008747"
"5.46795","0.00891","0.008741","0.008796","0.008746"
"5.48058","0.00893","0.00874","0.008795","0.008745"
"5.4932","0.00889","0.008739","0.008794","0.008744"
"5.50583","0.00891","0.008738","0.008793","0.008744"
"5.51845","0.00897","0.008738","0.008793","0.008743"
"5.53108","0.00892","0.008738","0.008793","0.008743"
"5.5437","0.00889","0.008738","0.008793","0.008743"
"5.55633","0.00882","0.008738","0.008793","0.008744"
"5.56895","0.0088","0.008738","0.008794","0.008744"
"5.58157","0.00883","0.008739","0.008794","0.008744"
"5.5942","0.00875","0.00874","0.008795","0.008745"
"5.60682","0.00874","0.008741","0.008796","0.008746"
"5.61944","0.00882","0.008742","0.008798","0.008747"
"5.63206","0.00886","0.008743","0.008799","0.008749"
"5.64469","0.00884","0.008745","0.008801","0.00875"
"5.65731","0.00882","0.008746","0.008803","0.008752"
"5.66993","0.00879","0.008748","0.008805","0.008754"
"5.68255","0.00878","0.00875","0.008808","0.008756"
"5.69517","0.00878","0.008753","0.00881","0.008759"
"5.70779","0.00883","0.008755","0.008813","0.008762"
"5.72041","0.00881","0.008758","0.008817","0.008765"
"5.73302","0.00879","0.008761","0.00882","0.008768"
"5.74564","0.00883","0.008765","0.008824","0.008771"
"5.75826","0.00888","0.008768","0.008828","0.008775"
"5.77088","0.00886","0.008772","0.008833","0.008779"
"5.78349","0.00883","0.008776","0.008838","0.008783"
"5.79611","0.00887","0.00878","0.008843","0.008787"
"5.80872","0.00883","0.008785","0.008848","0.008792"
"5.82134","0.00878","0.00879","0.008854","0.008797"
"5.83395","0.00875","0.008795","0.00886","0.008803"
"5.84657","0.00881","0.0088","0.008867","0.008808"
"5.85918","0.00885","0.008806","0.008873","0.008814"
"5.8718","0.00895","0.008812","0.008881","0.00882"
"5.88441","0.00889","0.008818","0.008888","0.008827"
"5.89702","0.00883","0.008824","0.008897","0.008834"
"5.90963","0.00881","0.008831","0.008905","0.008841"
"5.92225","0.00884","0.008838","0.008914","0.008848"
"5.93486","0.00883","0.008845","0.008924","0.008856"
"5.94747","0.00884","0.008853","0.008934","0.008864"
"5.96008","0.00888","0.008861","0.008944","0.008872"
"5.97269","0.00886","0.008869","0.008955","0.008881"
"5.9853","0.00894","0.008877","0.008967","0.00889"
"5.99791","0.00887","0.008886","0.008979","0.008899"
"6.01052","0.00887","0.008895","0.008992","0.008909"
"6.02312","0.00896","0.008904","0.009006","0.008918"
"6.03573","0.00895","0.008913","0.00902","0.008929"
"6.04834","0.00887","0.008922","0.009035","0.008939"
"6.06095","0.00896","0.008932","0.009052","0.00895"
"6.07355","0.00904","0.008942","0.009069","0.008961"
"6.08616","0.00904","0.008952","0.009088","0.008973"
"6.09876","0.00903","0.008962","0.009108","0.008985"
"6.11137","0.00901","0.008973","0.00913","0.008997"
"6.12397","0.00904","0.008983","0.009153","0.00901"
"6.13658","0.00899","0.008994","0.00918","0.009024"
"6.14918","0.00898","0.009005","0.009209","0.009038"
"6.16179","0.00899","0.009016","0.009242","0.009052"
"6.17439","0.00911","0.009026","0.009279","0.009068"
"6.18699","0.00915","0.009038","0.009322","0.009085"
"6.19959","0.0091","0.00905","0.009373","0.009103"
"6.21219","0.00913","0.009065","0.009434","0.009126"
"6.22479","0.00923","0.009087","0.009509","0.009156"
"6.23739","0.00931","0.00913","0.009603","0.009204"
"6.24999","0.00939","0.009217","0.009723","0.009292"
"6.26259","0.00962","0.00939","0.009884","0.009457"
"6.27519","0.00987","0.00971","0.010103","0.009755"
"6.28779","0.01027","0.010237","0.010413","0.010249"
"6.30039","0.0109","0.011006","0.010865","0.010982"
"6.31299","0.01186","0.011979","0.011537","0.011932"
"6.32558","0.01297","0.013019","0.012515","0.01298"
"6.33818","0.01402","0.01391","0.013765","0.013914"
"6.35078","0.01445","0.014423","0.01479","0.014471"
"6.36337","0.01435","0.014411","0.014739","0.014457"
"6.37597","0.01384","0.013882","0.013675","0.013881"
"6.38856","0.01307","0.01299","0.012459","0.012949"
"6.40116","0.01207","0.011967","0.01153","0.01192"
"6.41375","0.01098","0.011027","0.010902","0.011005"
"6.42634","0.01021","0.010296","0.010485","0.010311"
"6.43894","0.00975","0.009806","0.010205","0.009853"
"6.45153","0.00947","0.00952","0.010011","0.009587"
"6.46412","0.00927","0.009374","0.009875","0.009449"
"6.47671","0.0092","0.009312","0.009776","0.009385"
"6.4893","0.00912","0.009291","0.009704","0.009358"
