"Dataset Index","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","18.928117","156442.028148","1.001459","7449.568838","458.599478","3790333.535034","1079.919223","8925553.25347","0.016466","0.001873"
"1.0","0.165435","0.0","1.0","0.0","2.97411","0.0","7.003494","0.0","0.022191","0.0"
"2.0","0.156924","0.015801","1.0","0.107413","1.627089","0.164139","3.831501","0.386517","0.038476","0.002194"
"3.0","0.064661","0.001446","1.335422","0.004229","0.163973","0.004247","0.386127","0.01","0.157319","0.003515"
"4.0","0.074472","0.001637","1.326301","0.004058","0.160109","0.004075","0.377028","0.009596","0.185562","0.004075"
"5.0","0.087326","0.001544","1.329255","0.003311","0.162432","0.003326","0.382498","0.007833","0.214477","0.003789"
"6.0","0.103894","0.001535","1.33271","0.002797","0.164187","0.00281","0.38663","0.006616","0.252443","0.003726"
"7.0","0.116225","0.001543","1.332773","0.002464","0.160934","0.002473","0.37897","0.005824","0.288113","0.003822"
"8.0","0.131878","0.001754","1.333002","0.002483","0.161922","0.002493","0.381297","0.00587","0.324921","0.004317"
"9.0","0.144617","0.001806","1.33115","0.002354","0.163515","0.002365","0.385048","0.005569","0.352836","0.004402"
"10.0","0.163849","0.001855","1.333492","0.002119","0.162378","0.002128","0.382372","0.005011","0.402554","0.004553"
"11.0","0.186266","0.001975","1.330653","0.002014","0.164747","0.002024","0.387951","0.004767","0.451049","0.004778"
"12.0","0.20689","0.002217","1.324951","0.002037","0.164937","0.002049","0.388396","0.004826","0.500417","0.005356"
"13.0","0.225183","0.002334","1.32299","0.001966","0.164593","0.001978","0.387586","0.004658","0.545803","0.005651"
"14.0","0.237966","0.002406","1.31915","0.001939","0.16655","0.001954","0.392195","0.004601","0.570007","0.005752"
"15.0","0.242105","0.0","1.317226","0.0","0.165736","0.0","0.390277","0.0","0.58277","0.0"
"16.0","0.247158","0.0","1.316509","0.0","0.166588","0.0","0.392285","0.0","0.59189","0.0"

" ","(  0.0 in STD_ERR ","means NoneType. )"
