"Dataset Index","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.150988","0.00104","4.51665","0.000215","0.035597","0.000227","0.083825","0.000534","1.692139","0.010127"
"1.0","0.143407","0.0","4.517629","0.0","0.035175","0.0","0.08283","0.0","1.626484","0.0"
"2.0","0.129337","0.000983","4.518648","0.000294","0.034959","0.000297","0.082322","0.0007","1.475965","0.010871"
"3.0","0.109838","0.000657","4.519681","0.000238","0.034374","0.000238","0.080945","0.000559","1.27477","0.007629"
"4.0","0.088879","0.000743","4.520609","0.000323","0.033439","0.000323","0.078743","0.00076","1.060361","0.008861"
"5.0","0.07626","0.000692","4.521335","0.000347","0.033098","0.000347","0.07794","0.000817","0.919191","0.00834"
"6.0","0.069171","0.000679","4.521986","0.00037","0.032616","0.00037","0.076806","0.000871","0.84605","0.008306"
"7.0","0.066345","0.000689","4.521747","0.00039","0.032533","0.00039","0.07661","0.000919","0.813564","0.008448"
"8.0","0.060502","0.00077","4.521982","0.000466","0.031696","0.000466","0.074638","0.001097","0.761512","0.009697"
"9.0","0.057742","0.000792","4.521676","0.000505","0.031884","0.000505","0.075081","0.001189","0.722488","0.009905"
"10.0","0.051194","0.000809","4.522052","0.000573","0.031364","0.000573","0.073856","0.001348","0.65118","0.010295"
"11.0","0.03637","0.000849","4.522479","0.000832","0.030868","0.000832","0.072689","0.001958","0.470041","0.010966"
"12.0","0.0236","0.000938","4.523158","0.001379","0.030028","0.001379","0.07071","0.003247","0.31354","0.012468"
"13.0","0.01452","0.000995","4.522363","0.002408","0.030422","0.002408","0.071638","0.005671","0.190406","0.013054"
"14.0","0.00684","0.000993","4.52323","0.004841","0.028884","0.004841","0.068015","0.0114","0.094477","0.013713"
"15.0","0.0","0.0","2.825248","0.0","40.470067","0.0","95.299722","0.0","0.0","0.0"
"16.0","0.0","0.0","3.2527","0.0","47.262202","0.0","111.293978","0.0","0.0","0.0"

" ","(  0.0 in STD_ERR ","means NoneType. )"
