"X","Y_Original","Y_Gaussian","Y_Lorentzian","Y_Pseudo_Voigt"
"4.03","-0.745827","-0.551814","0.064444","-0.545834"
"4.04","-0.744973","-0.594248","0.005105","-0.587796"
"4.05","-0.726068","-0.625521","-0.047813","-0.618659"
"4.06","-0.695881","-0.648596","-0.095146","-0.641374"
"4.07","-0.661536","-0.665762","-0.137598","-0.658219"
"4.08","-0.628702","-0.678727","-0.175746","-0.670895"
"4.09","-0.60285","-0.688722","-0.210076","-0.680624"
"4.1","-0.586135","-0.6966","-0.240983","-0.688256"
"4.11","-0.581102","-0.702926","-0.268804","-0.694352"
"4.12","-0.587971","-0.708046","-0.29381","-0.699258"
"4.13","-0.605491","-0.712144","-0.31623","-0.703161"
"4.14","-0.632889","-0.715287","-0.336248","-0.706131"
"4.15","-0.666482","-0.717447","-0.354014","-0.708147"
"4.16","-0.703933","-0.718531","-0.369646","-0.709122"
"4.17","-0.741576","-0.718383","-0.383235","-0.708912"
"4.18","-0.776424","-0.716799","-0.394847","-0.707323"
"4.19","-0.805114","-0.713528","-0.404524","-0.704115"
"4.2","-0.826071","-0.708279","-0.412294","-0.699011"
"4.21","-0.835847","-0.700725","-0.418168","-0.691695"
"4.22","-0.834833","-0.690511","-0.422146","-0.681823"
"4.23","-0.821544","-0.677253","-0.424214","-0.669023"
"4.24","-0.796364","-0.660553","-0.424348","-0.652903"
"4.25","-0.760476","-0.640001","-0.422504","-0.633058"
"4.26","-0.713929","-0.615188","-0.41862","-0.60908"
"4.27","-0.659501","-0.585721","-0.412603","-0.58057"
"4.28","-0.597855","-0.551238","-0.404328","-0.547154"
"4.29","-0.531323","-0.511433","-0.393629","-0.508511"
"4.3","-0.4613","-0.466078","-0.380292","-0.464385"
"4.31","-0.389181","-0.415058","-0.364053","-0.414628"
"4.32","-0.31621","-0.35838","-0.344579","-0.359209"
"4.33","-0.243215","-0.296219","-0.321463","-0.298256"
"4.34","-0.170748","-0.228918","-0.294208","-0.232059"
"4.35","-0.099147","-0.157024","-0.262219","-0.161111"
"4.36","-0.028504","-0.081275","-0.224781","-0.086093"
"4.37","0.041244","-0.002625","-0.181066","-0.007906"
"4.38","0.110046","0.077794","-0.130121","0.072365"
"4.39","0.178016","0.15866","-0.070917","0.153432"
"4.4","0.244878","0.238522","-0.002396","0.233863"
"4.41","0.310341","0.315813","0.076355","0.312083"
"4.42","0.373798","0.388923","0.165871","0.386444"
"4.43","0.434173","0.456233","0.265846","0.455254"
"4.44","0.490767","0.516193","0.37454","0.516858"
"4.45","0.541402","0.567366","0.48797","0.569676"
"4.46","0.585442","0.608502","0.599264","0.6123"
"4.47","0.620787","0.638574","0.698508","0.643546"
"4.48","0.646012","0.65684","0.773919","0.662536"
"4.49","0.660399","0.662858","0.814487","0.668741"
"4.5","0.66147","0.656518","0.813515","0.662029"
"4.51","0.650323","0.63804","0.771158","0.642666"
"4.52","0.625049","0.607967","0.694363","0.611304"
"4.53","0.58704","0.567134","0.594212","0.568923"
"4.54","0.536734","0.516644","0.482435","0.516785"
"4.55","0.474891","0.457803","0.368765","0.456348"
"4.56","0.404173","0.392081","0.25992","0.389213"
"4.57","0.325339","0.321038","0.159707","0.317031"
"4.58","0.241766","0.246281","0.069769","0.241467"
"4.59","0.155366","0.16938","-0.00969","0.164119"
"4.6","0.068792","0.091849","-0.079249","0.086497"
"4.61","-0.015857","0.015065","-0.139881","0.009952"
"4.62","-0.095984","-0.059739","-0.192669","-0.064319"
"4.63","-0.170541","-0.131524","-0.238687","-0.135328"
"4.64","-0.237381","-0.199438","-0.278912","-0.202277"
"4.65","-0.296229","-0.262845","-0.314214","-0.264585"
"4.66","-0.346568","-0.321297","-0.345336","-0.321856"
"4.67","-0.388077","-0.374545","-0.372917","-0.373893"
"4.68","-0.422121","-0.422501","-0.397493","-0.420649"
"4.69","-0.448418","-0.465233","-0.419515","-0.462229"
"4.7","-0.469189","-0.502925","-0.43936","-0.498847"
